"","fullPotID","plantRep","plantID","hostVar","potID","RNASeq","totSpikelets","disS.d7","disS.d10","disS.d14","disS.d17","head.mass","Notes.x","bacteria","Fusarium","microTrt","block","disPerc.d7","disPerc.d10","disPerc.d14","disPerc.d17","DON_area","forecast","x5","weight_g","ugDON_per_g","Fg_gm","Ta_gm","FgTa","failed_yn","Notes.y","AUDPC","DON_per_Fg"
"92","A49-Y108-F+","1","49-1","Alsen","49","NO",20,1,1,1,1,2.95,NA,"Y108","YES","Y108","3",5,5,5,5,380,0.119766211,0.598831053,0.48,1.247564694,0.000184285,0.001224027,0.150556441,"","only one rep across 12 reps from 3 primer sets",0.05,6.22051671728658
"93","A49-Y108-F+","2","49-2","Alsen","49","NO",19,1,1,1,2,2.91,NA,"Y108","YES","Y108","3",5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,9047,1.438641022,7.193205111,0.5,14.38641022,0.000296353,0.001446783,0.204835634,"","",0.0605263157894737,56.4536834750512
"94","A49-Y108-F+","3","49-3","Alsen","49","NO",22,0,0,0,0,4.13,NA,"Y108","YES","Y108","3",0,0,0,0,305,0.10835331,0.541766549,0.51,1.062287352,7.4e-05,0.001093478,0.067632443,"","only one rep across 12 reps from 3 primer sets",0,9.03056439965291
"95","A49-Y108-F+","5","49-5","Alsen","49","NO",19,1,1,1,1,2.79,NA,"Y108","YES","Y108","3",5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,3419,0.61954019,3.097700949,0.48,6.453543643,0.000173019,0.00121368,0.142557689,"","",0.0526315789473684,33.5148582043899
"96","A53-B-/-F-","1","53-1","Alsen","53","NO",20,0,0,0,0,2.82,NA,"NO","NO","NEG","3",0,0,0,0,275,0.10378815,0.518940748,0.51,1.017530878,0,0.000907095,0,"","expected Fg non-amp",0,20.35061756
"97","A53-B-/-F-","2","53-2","Alsen","53","NO",20,0,0,0,0,3.21,NA,"NO","NO","NEG","3",0,0,0,0,299,0.107440278,0.537201389,0.49,1.096329366,0,0.001273261,0,"","expected Fg non-amp",0,21.92658732
"98","A53-B-/-F-","4","53-4","Alsen","53","NO",21,0,0,0,0,3.26,NA,"NO","NO","NEG","3",0,0,0,0,219,0.095266517,0.476332585,0.5,0.95266517,0,0.001175471,0,"","expected Fg non-amp",0,19.0533034
"99","A53-B-/-F-","5","53-5","Alsen","53","NO",19,0,0,0,1,2.37,NA,"NO","NO","NEG","3",0,0,0,5.26315789473684,280,0.10454901,0.522745048,0.51,1.02499029,0,0.001543481,0,"","expected Fg non-amp",0.00789473684210526,20.4998058
"100","A54-Y2-F+","1","54-1","Alsen","54","NO",20,0,0,0,1,2.83,NA,"Y2","YES","Y2","3",0,0,0,5,1004,0.438754826,2.193774128,0.5,4.387548255,0.000243344,0.000982407,0.247702299,"","at least two reps across 12 reps from 3 primer sets",0.0075,14.7380395439942
"101","A54-Y2-F+","2","54-2","Alsen","54","NO",21,2,4,6,9,2.44,NA,"Y2","YES","Y2","3",9.52380952380952,19.047619047619,28.5714285714286,42.8571428571429,19050,1.85845123,9.29225615,0.48,19.35886698,0.000253425,0.001024709,0.247314119,"","",0.245238095238095,65.1125047310653
