plantID,DON_ID,DON_area,forecast,x5,weight_g,ugDON_per_g
N50-Y11-F+ 4,N99,26489,2.341141526,11.70570763,0.53,22.08624081
N50-Y11-F+ 5,N100,210439,11.62281958,58.11409792,0.47,123.6470169
N51-A30-F+ 1,N101,82797,5.847007624,29.23503812,0.5,58.47007624
N51-A30-F+ 2,N102,218603,11.95748615,59.78743076,0.5,119.5748615
N51-A30-F+ 4,N103,164762,10.02395124,50.11975621,0.5,100.2395124
N51-A30-F+ 5,N104,506907,23.34914808,116.7457404,0.51,228.9132165
N52-Y108-F+ 1,N105,13478,1.772188712,8.860943559,0.49,18.08355828
N52-Y108-F+ 2,N106,44435,3.892076726,19.46038363,0.5,38.92076726
N52-Y108-F+ 3,N107,98693,5.49852136,27.4926068,0.48,57.27626417
N52-Y108-F+ 4,N108,44872,3.914346284,19.57173142,0.5,39.14346284
A04-A30-F+ 1,A1,19700,1.890407052,9.452035259,0.54,17.503769
A04-A30-F+ 2,A2,52672,3.511402986,17.55701493,0.52,33.76349025
A04-A30-F+ 3,A3,36337,2.708328602,13.54164301,0.52,26.04162117
A04-A30-F+ 4,A4,19857,1.898125612,9.490628059,0.48,19.77214179
A05-Y108-F+ 1,A5,207973,13.12381673,65.61908366,0.51,128.6648699
A05-Y108-F+ 2,A6,16059,1.711405287,8.557026434,0.49,17.46331925
A05-Y108-F+ 4,A7,247865,13.30078135,66.50390674,0.5,133.0078135
A05-Y108-F+ 5,A8,194224,12.33779121,61.68895607,0.5,123.3779121
A06-B-/-F+ 1,A9,6933,0.882595995,4.412979975,0.5,8.82595995
A06-B-/-F+ 3,A10,182157,11.64792505,58.23962523,0.49,118.856378
A06-B-/-F+ 4,A11,255941,13.66629871,68.33149353,0.54,126.5398028
A06-B-/-F+ 5,A12,14499,1.634711314,8.173556572,0.5,16.34711314
A07-Q16-F+ 1,A13,16860,1.750784692,8.753923459,0.48,18.23734054
A07-Q16-F+ 2,A14,6049,0.816420317,4.082101586,0.5,8.164203172
A07-Q16-F+ 3,A15,526,0.141983324,0.709916621,0.52,1.36522427
A07-Q16-F+ 5,A16,16875,1.751522134,8.757610669,0.5,17.51522134
A08-B-/-F- 1,A17,70844,5.284199788,26.42099894,0.48,55.04374779
A08-B-/-F- 2,A18,7501,0.925116114,4.625580569,0.53,8.727510508
A08-B-/-F- 4,A19,12598,1.541252826,7.706264131,0.52,14.81973871
A08-B-/-F- 5,A20,11064,1.465837087,7.329185433,0.49,14.95752129
A14-W14-F+ 1,A21,10972,1.461314109,7.306570544,0.5,14.61314109
A14-W14-F+ 2,A22,372,0.118548835,0.592744173,0.48,1.234883693
A14-W14-F+ 3,A23,331,0.112309782,0.561548911,0.49,1.146018185
A14-W14-F+ 4,A24,13028,1.562392831,7.811964157,0.49,15.94278399
A15-Q22-F+ 2,A25,11387,1.481716672,7.40858336,0.48,15.43454867
A15-Q22-F+ 3,A26,20406,1.925115991,9.625579953,0.5,19.25115991
A15-Q22-F+ 4,A27,191162,12.16273775,60.81368873,0.48,126.6951848
A15-Q22-F+ 5,A28,55014,3.62654227,18.13271135,0.5,36.2654227
A17-Y11-F+ 2,A29,112126,7.644277282,38.22138641,0.5,76.44277282
A17-Y11-F+ 3,A30,353139,18.06545128,90.32725642,0.5,180.6545128
A17-Y11-F+ 4,A31,535113,26.30154041,131.5077021,0.54,243.5327816
A17-Y11-F+ 5,A32,438885,21.94628975,109.7314487,0.51,215.1597034
A18-Y2-F+ 1,A33,340,0.11367933,0.568396651,0.49,1.159993166
A18-Y2-F+ 2,A34,21246,1.966412745,9.832063724,0.52,18.90781485
A18-Y2-F+ 4,A35,6985,0.886488682,4.43244341,0.51,8.691065509
A18-Y2-F+ 5,A36,22291,2.017787874,10.08893937,0.5,20.17787874
A21-A30-F+ 1,A37,18244,1.818826011,9.094130054,0.5,18.18826011
A21-A30-F+ 2,A38,2713,0.566689479,2.833447393,0.51,5.555779203
A21-A30-F+ 3,A39,276130,14.58004684,72.90023421,0.52,140.1927581
A21-A30-F+ 4,A40,12736,1.548037293,7.740186465,0.5,15.48037293
A24-B-/-F- 1,A41,307,0.108657654,0.54328827,0.52,1.044785134
A24-B-/-F- 3,A42,340,0.11367933,0.568396651,0.49,1.159993166
A24-B-/-F- 4,A43,338,0.113374986,0.566874931,0.5,1.133749862
A24-B-/-F- 5,A44,314,0.109722858,0.54861429,0.52,1.055027481
A26-Y11-F+ 1,A45,33952,2.591075317,12.95537659,0.49,26.43954405
A26-Y11-F+ 2,A46,10924,1.458954294,7.294771472,0.49,14.88728872
A26-Y11-F+ 3,A47,5163,0.750094921,3.750474603,0.51,7.353871771
A26-Y11-F+ 5,A48,46383,3.202218119,16.0110906,0.49,32.67569509
A27-Q16-F+ 2,A49,11834,1.503692445,7.518462224,0.49,15.34380046
A27-Q16-F+ 3,A50,7090,0.894348915,4.471744576,0.49,9.126009339
