"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"147" "30-2" "N30-Y11-F+" "Norm" "30" "2" "NO" 20 3 9 15 19 3.26 NA
"148" "30-3" "N30-Y11-F+" "Norm" "30" "3" "NO" 20 4 7 13 17 2.73 NA
"149" "30-4" "N30-Y11-F+" "Norm" "30" "4" "NO" 19 3 7 13 15 2.4 NA
"150" "30-5" "N30-Y11-F+" "Norm" "30" "5" "NO" 21 5 11 13 15 3.45 NA
"151" "31-1" "N31-Y108-F+" "Norm" "31" "1" "YES" NA NA NA NA NA NA NA
"152" "31-2" "N31-Y108-F+" "Norm" "31" "2" "NO" 19 3 19 13 16 2.99 NA
"153" "31-3" "N31-Y108-F+" "Norm" "31" "3" "NO" 21 4 8 13 17 3.46 NA
"154" "31-4" "N31-Y108-F+" "Norm" "31" "4" "NO" 20 3 11 13 15 2.66 NA
"155" "31-5" "N31-Y108-F+" "Norm" "31" "5" "NO" 20 5 11 15 19 1.54 NA
"156" "32-1" "A32-Q22-F+" "Alsen" "32" "1" "NO" 22 1 2 4 4 3.09 NA
"157" "32-2" "A32-Q22-F+" "Alsen" "32" "2" "NO" 21 1 4 8 12 1.78 NA
"158" "32-3" "A32-Q22-F+" "Alsen" "32" "3" "YES" NA NA NA NA NA NA NA
"159" "32-4" "A32-Q22-F+" "Alsen" "32" "4" "NO" 21 1 1 3 2 2.87 NA
"160" "32-5" "A32-Q22-F+" "Alsen" "32" "5" "NO" 21 1 1 2 2 2.54 NA
"161" "33-1" "A33-W14-F+" "Alsen" "33" "1" "NO" 20 1 5 8 12 2.21 NA
"162" "33-2" "A33-W14-F+" "Alsen" "33" "2" "NO" 25 3 6 9 13 2.93 NA
"163" "33-3" "A33-W14-F+" "Alsen" "33" "3" "YES" NA NA NA NA NA NA NA
"164" "33-4" "A33-W14-F+" "Alsen" "33" "4" "NO" 22 5 12 16 18 1.46 NA
"165" "33-5" "A33-W14-F+" "Alsen" "33" "5" "NO" 21 2 6 13 19 1.18 NA
"166" "34-1" "N34-Q22-F+" "Norm" "34" "1" "NO" 20 3 10 15 18 1.54 NA
"167" "34-2" "N34-Q22-F+" "Norm" "34" "2" "NO" 20 2 7 15 20 1.59 NA
"168" "34-3" "N34-Q22-F+" "Norm" "34" "3" "YES" NA NA NA NA NA NA NA
"169" "34-4" "N34-Q22-F+" "Norm" "34" "4" "NO" 20 2 7 12 16 2.97 NA
"170" "34-5" "N34-Q22-F+" "Norm" "34" "5" "NO" 21 6 12 15 21 1.52 NA
"171" "35-1" "A35-B-/-F+" "Alsen" "35" "1" "NO" 20 1 1 2 2 3.3 NA
